"route","kind","source"
"/","page","src/pages/index.astro"
"/about-us","page","src/pages/about-us.astro"
"/app","page","src/pages/app.astro"
"/blog","page","src/pages/blog.astro"
"/blogs/arthritis-and-joint-pain-in-seniors","blog","src/content/blogs/arthritis.md"
"/blogs/balance-problems-in-elderly","blog","src/content/blogs/balance.md"
"/blogs/bathroom-safety-features-at-home","blog","src/content/blogs/safety-features.md"
"/blogs/caring-elderly-parents-from-afar","blog","src/content/blogs/caring.md"
"/blogs/caring-from-distance","blog","src/content/blogs/NRI-parent-care.md"
"/blogs/diet-and-nutrition-in-healthy-aging","blog","src/content/blogs/diet.md"
"/blogs/diwali-travel-safety-tips-for-seniors","blog","src/content/blogs/travel-diwali.md"
"/blogs/falls-kill-more-seniors-than-you-think","blog","src/content/blogs/fall.md"
"/blogs/holi-safety-at-home","blog","src/content/blogs/holi-safety.md"
"/blogs/how-eyeagle-works-when-you-are-miles-away","blog","src/content/blogs/miles-away.md"
"/blogs/how-fear-of-falling-affects-mental-health","blog","src/content/blogs/mental-health.md"
"/blogs/how-to-ensure-safety-for-parents-living-alone","blog","src/content/blogs/safety.md"
"/blogs/how-to-make-your-home-safe","blog","src/content/blogs/safe-home.md"
"/blogs/importance-of-elderly-fall-prevention","blog","src/content/blogs/zindagi.md"
"/blogs/importance-of-open-conversations-about-aging","blog","src/content/blogs/conversations.md"
"/blogs/importance-of-regular-vision-checks","blog","src/content/blogs/vision.md"
"/blogs/mobility-tips-for-seniors","blog","src/content/blogs/mobility.md"
"/blogs/monsoon-bathroom-safety-tips-for-seniors","blog","src/content/blogs/monsoon.md"
"/blogs/new-year-safer-home-safety-tips","blog","src/content/blogs/new-year.md"
"/blogs/protecting-elders-at-home-safety-guide","blog","src/content/blogs/kabhi-khushi.md"
"/blogs/regular-health-checkups-for-seniors","blog","src/content/blogs/checkup.md"
"/blogs/senior-fall-risk-denial-why-not-me-mentality","blog","src/content/blogs/why-not-me.md"
"/blogs/senior-hidden-illness-and-home-safety","blog","src/content/blogs/seniors-ill.md"
"/blogs/senior-home-safety-india","blog","src/content/blogs/aging-reality.md"
"/blogs/senior-safety-during-diwali","blog","src/content/blogs/safety-diwali.md"
"/blogs/silver-tsunami-india-safer-future-for-seniors","blog","src/content/blogs/silver-tsunami.md"
"/blogs/sleep-hygiene-for-seniors","blog","src/content/blogs/sleep-hygiene.md"
"/blogs/stairway-safety-tips-prevent-accidents","blog","src/content/blogs/stairway-safety.md"
"/blogs/step-by-step-bathroom-safety-tips-for-seniors","blog","src/content/blogs/safety-tips.md"
"/blogs/that-missed-call-on-a-winter-morning","blog","src/content/blogs/missedCall.md"
"/blogs/the-critical-60-minutes-after-a-fall","blog","src/content/blogs/critical.md"
"/blogs/thoughtful-new-year-gift-safety-over-showpieces","blog","src/content/blogs/newYear-gift.md"
"/blogs/why-fall-alarms-for-seniors-matter","blog","src/content/blogs/alarms.md"
"/blogs/why-falls-are-the-biggest-threat-to-seniors","blog","src/content/blogs/epidemic.md"
"/blogs/winter-bathroom-safety-for-seniors","blog","src/content/blogs/winter-safety.md"
"/blogs/winter-footwear-safety-at-home","blog","src/content/blogs/footwear.md"
"/contact","page","src/pages/contact.astro"
"/device","page","src/pages/device.astro"
"/join","page","src/pages/join.astro"
"/offers/fathers-day-2025","page","src/pages/offers/fathers-day-2025.astro"
"/offers/yoga-day-2025","page","src/pages/offers/yoga-day-2025.astro"
"/order-details/[id]","dynamic","src/pages/order-details/[id].astro"
"/privacy","page","src/pages/privacy.astro"
"/protection","page","src/pages/protection.astro"
"/refund","page","src/pages/refund.astro"
"/shipping","page","src/pages/shipping.astro"
"/solution","page","src/pages/solution.astro"
"/store","page","src/pages/store.astro"
"/success","page","src/pages/success.astro"
"/tnc","page","src/pages/tnc.astro"
